RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,Consent,"How do you access the textbook?<br><span style=""color: #808080;"">Check all that apply.</span>",,,,,,,,"If you use the text in electronic form, what is your preferred reader software?","When using the text in hardcopy, do you ...<br><span style=""color: #999999;"">Check all that apply.</span>",,,,,"When using the text in electronic form do you....<br><span style=""color: #999999;"">Check all that apply.</span>",,,,,,How often do you consult the textbook?,Do you read the text in preparation for lectures?,Do you review the text right after the material was covered in lectures?,Do you consult the text during lectures?,Do you read the text in preparation for exams?,Do you consult the text when working on homework problems?,How well placed are the figures in relation to the material they discuss?,How much do figures and diagrams help you understand the text?,How well are examples used to explain the material?,How adequate is the number of exercises/problems?,Is the text well-organized?,Do the explanations provide enough detail?,How engaging/interesting is the writing?,How understandable/clear is the writing?,What do you like about the text?,What do you dislike about the text?,How much money would you be happy to spend on a textbook for this course?,How much did the cost of the textbook influence your decision to buy it?,Is the price of the textbook too high for the amount of learning support it provides?,What is your gender identity?,What is your current year in university?,"What is your major?<br><span style=""color: #999999;"">If you have not declared a major, please check all subjects that you are considering.</span>",,,,,,,,"<strong>What final grade do you expect to receive in this course?</strong><br><strong><span style=""color: #808080;"">(Use ""W"" if you have withdrawn from the course or plan to.)</span></strong>"
,,,,,,,,,Response,I have bought my own hardcopy of the textbook,I have bought my own electronic (eBook) version of the textbook,"I have a hardcopy of the textbook, but did not buy it myself","I have an electronic version of the textbook, but did not buy it myself",I borrow a copy of the text when I need it,I use the text in the library,I do not have or use the text at all,Other (please specify),Open-Ended Response,Underline or highlight text,Make notes in the text,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,I don't use the text in hardcopy,Underline or highlight text,Make notes in the text,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,Print portions of the text,I don't use the text in electronic fom,Response,,,,,,,,,,,,,,Open-Ended Response,Open-Ended Response,Response,,,Response,Response,Mathematics,Computer Science,Physics,Philosophy,Engineering,Linguistics,Not sure,Other (please specify),Response
5165390675,94801263,01/07/2017 4:13,01/07/2017 4:17,,,,,,"I have read and agree with the above, take me to the survey.",,,,,,,I do not have or use the text at all,,,,,,,I don't use the text in hardcopy,,,,,,I don't use the text in electronic fom,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,3,2,3,4,4,Not at all<br>1,3,3,"It tries to explain the reasoning behind logic problems, fostering understanding rather than memory.",The textbook's difficulty does not match the difficulty of the course. ,Between 20 and 50$,A major factor<br>5,4,Man,Second year,,,,,,,,Neuroscience ,A
5162478048,94801263,01/04/2017 21:14,01/04/2017 23:02,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,,,,,,I don't use the text in electronic fom,Once or twice a month,2,2,2,2,3,3,4,3,3,2,2,3,3,It has lots of examples and is has graphs which is useful  ,It's too long,Between 20 and 50$,2,4,Man,First Year,Mathematics,Computer Science,,,,,,,A
5161553649,94801263,01/04/2017 6:06,01/04/2017 6:12,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,Underline or highlight text,Make notes in the text,,Use bookmarks or flags to highlight places in the text,,,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,3,3,3,3,3,3,2,3,"It seemed well organized and followed the material, when I first looked at it","I did not need it, so I never actually used it",Under 20$,2,Very much so<br>5,Woman,Second year,,Computer Science,,,,,,,A
5160601678,94801263,01/03/2017 14:49,01/03/2017 14:55,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,Underline or highlight text,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,Several times a week,4,3,Never<br>1,Always<br>5,Always<br>5,2,Not at all<br>1,Not at all<br>1,Very much so<br>5,2,2,Very boring<br>1,2,,The text follows a very proprietary approach to the material which leaves little opportunity for referencing other academic texts. ,Between 20 and 50$,No influence at all<br>1,4,Man,First Year,,Computer Science,,,,,,,W
5159850603,94801263,01/02/2017 19:12,01/02/2017 19:17,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,,,,,Once a week,3,Always<br>5,4,Always<br>5,Always<br>5,4,Very much<br>5,4,Very much so<br>5,Very much so<br>5,4,4,4,"I like how there are many practice problems for me to do. Additionally, the instructor provided detailed solutions to those problems. Furthermore, important paragraphs that the instructor pointed out were written with great detail!","The text itself would not have answers to all questions, instead the instructor posted solutions onto D2L",Under 20$,A major factor<br>5,Not at all<br>1,Man,First Year,,,,,,,,Biological Sciences,A
5159768825,94618603,01/02/2017 17:11,01/02/2017 17:18,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,"I have an electronic version of the textbook, but did not buy it myself",,,,,,Underline or highlight text,Make notes in the text,,,,,,"Make notes separately, not in the text",,,,Several times a week,3,2,Never<br>1,4,Always<br>5,4,Very much<br>5,3,Very much so<br>5,Very much so<br>5,2,Very engaging<br>5,Very clear<br>5,It is an interesting topic,It is not explained well enough,Between 20 and 50$,4,Not at all<br>1,Man,Third year,,Computer Science,Physics,,,,,,W
5159613092,94801263,01/02/2017 13:36,01/02/2017 13:39,,,,,,"I have read and agree with the above, take me to the survey.",,,,,,,I do not have or use the text at all,,,,,,,I don't use the text in hardcopy,,,,,,I don't use the text in electronic fom,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,,,,,,,,,,,Between 50 and 100$,,,Man,Fourth year,,,Physics,,,,,,A+
5159470785,94801263,01/02/2017 9:03,01/02/2017 9:03,,,,,,"I have read and agree with the above, take me to the survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5152145730,94801263,12/23/2016 09:35:53,12/23/2016 09:40:26,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,,,,,,I don't use the text in electronic fom,Several times a week,2,4,Never<br>1,Always<br>5,Always<br>5,3,4,3,Very much so<br>5,4,Very much so<br>5,4,Very clear<br>5,"All concepts were explained in a very clear manner, with multiple examples ensuring a precision in what it was getting across. ","Though it was very clear, the writing was not necessarily illuminating, however this is formal logic we are talking about. ",Between 50 and 100$,No influence at all<br>1,Not at all<br>1,Man,Third year,Mathematics,,,,,,,,A
5147463719,94801263,12/19/2016 21:27:33,12/19/2016 21:29:11,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,,,I don't use the text in hardcopy,,,,,,I don't use the text in electronic fom,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,2,Not at all<br>1,Not at all<br>1,Not at all<br>1,2,Not at all<br>1,Very boring<br>1,Not clear at all<br>1,Nothing,Everything,0$,2,Very much so<br>5,Man,First Year,,Computer Science,,,,,,,B
5146272939,94618603,12/19/2016 03:03:51,12/19/2016 03:06:46,,,,,,"I have read and agree with the above, take me to the survey.",,,,"I have an electronic version of the textbook, but did not buy it myself",I borrow a copy of the text when I need it,,,,Google Drive,,,"Make notes separately, not in the text",,,Underline or highlight text,Make notes in the text,"Make notes separately, not in the text",,,,Several times a week,Always<br>5,4,2,Always<br>5,Always<br>5,3,4,2,4,Very much so<br>5,3,3,2,It's encompassing for the subject material for the course.,It feels dense and overwhelming.,Under 20$,A major factor<br>5,Not at all<br>1,Man,Fourth year,,Computer Science,,,,,,,B
5145961151,94801263,12/18/2016 17:29:20,12/18/2016 17:36:22,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,,,,I don't use the text in electronic fom,Once every couple of months,Never<br>1,Never<br>1,Never<br>1,Never<br>1,2,2,3,3,3,4,2,2,3,There are lots of examples.,Goes into a lot of detail that you don't need but skims over some important stuff.,Between 20 and 50$,4,2,Woman,Other,,Computer Science,,,,,,,A+
